dt,type_id,Только населенный пункт
2020-03-30,5,Липиха
2020-04-03,5,Яр
2020-04-03,5,Ялуторовск
2020-04-03,5,Криволукская
2020-04-03,5,Заводоуковск
2020-04-03,1,Антипино
2020-04-04,1,Ишим
2020-04-04,5,Ишим
2020-04-05,5,Ишим
2020-04-06,1,Абатское
2020-04-08,1,Антипино
2020-04-10,5,Абатское
2020-04-11,5,Партизан
2020-04-11,5,Ишим
2020-04-11,1,Ишим
2020-04-11,5,Максимова
2020-04-11,5,Орлово
2020-04-11,5,Назарово
2020-04-11,1,Заборка
2020-04-11,1,Сор
2020-09-11,1,Менжинское
2020-09-12,3,Менжинское
2020-09-12,1,Ишим
2020-10-02,5,Сор
2020-10-16,5,Сартам
2020-10-16,1,Партизан
2020-10-17,1,Партизан
2020-10-18,1,Задонка
2020-10-18,1,Беково
2020-10-18,1,Партизан
2020-10-19,1,Ишим
2020-10-20,1,Ишим
2020-10-28,5,Уват
2021-01-14,3,Агарак
2021-01-22,5,Уват
2021-04-10,1,Яр
2021-04-11,5,Вагай
2021-04-11,1,Тобольск
2021-04-11,1,Яр
2021-04-11,1,Андреевский
2021-04-11,1,Винзили
2021-04-12,1,Кускургуль
2021-04-12,1,Тобольск
2021-04-13,5,Земляная
2021-04-13,5,Усово
2021-04-13,1,Салаирка
2021-04-13,1,Тюмень
2021-04-13,5,Тобольск
2021-04-13,5,Гагарина
2021-04-13,5,Вилкова
2021-04-13,5,Кротово
2021-04-13,1,Тобольск
2021-04-13,5,Слободчики
2021-04-13,5,Русаково
2021-04-13,5,Банниково
2021-04-13,1,Макарова
2021-04-13,5,Вагай
2021-04-13,5,Бегишевское
2021-04-13,1,Яр
2021-04-13,5,Ишим
2021-04-13,1,Новотарманский
2021-04-14,5,Вагай
2021-04-14,5,Бегишевское
2021-04-14,1,Яр
2021-04-14,1,Караульнояр
2021-04-14,1,Новотарманский
2021-04-14,1,Лайтамак
2021-04-14,5,Тобольск
2021-04-14,5,Ишим
2021-04-14,5,Назарово
2021-04-14,5,Поротникова
2021-04-14,5,Банниково
2021-04-14,5,Сор
2021-04-14,5,Ялуторовск
2021-04-14,1,Липовка
2021-04-14,5,Яр
2021-04-14,5,Сетово
2021-04-14,5,Борки
2021-04-14,5,Старая Маслянка
2021-04-14,1,Тобольск
2021-04-14,1,Тараканова
2021-04-14,5,Беркут
2021-04-14,1,Богандинское
2021-04-14,1,Тюмень
2021-04-14,3,Заводоуковск
2021-04-14,5,Кармацкая
2021-04-14,1,Вагай
2021-04-14,5,Сартам
2021-04-14,5,Елань
2021-04-14,5,Ощепково
2021-04-14,1,Ишим
2021-04-14,5,Партизан
2021-04-14,5,Окуневское
2021-04-14,1,Ишменева
2021-04-15,1,Яр
2021-04-15,1,Караульнояр
2021-04-15,1,Ермаково
2021-04-15,1,Тобольск
2021-04-15,1,Бегишевское
2021-04-15,5,Вагай
2021-04-15,5,Скрипкино
2021-04-15,5,Сор
2021-04-15,5,Вилкова
2021-04-15,5,Ишим
2021-04-15,1,Ишим
2021-04-15,5,Банниково
2021-04-15,3,Заводоуковск
2021-04-15,5,Бердюжье
2021-04-15,5,Уктуз
2021-04-15,5,Партизан
2021-04-15,5,Назарово
2021-04-15,1,Вагай
2021-04-15,5,Покровское
2021-04-15,1,Покровское
2021-04-15,1,Сор
2021-04-15,5,Абатское
2021-04-15,1,Менжинское
2021-04-15,3,Вагай
2021-04-15,5,Менжинское
2021-04-16,5,Покровское
2021-04-16,1,Яр
2021-04-16,1,Вагай
2021-04-16,1,Тобольск
2021-04-16,5,Менжинское
2021-04-16,1,Верхнесидорово
2021-04-16,3,Тобольск
2021-04-16,1,Ермаково
2021-04-16,5,Сор
2021-04-16,1,Ишим
2021-04-16,1,Менжинское
2021-04-16,5,Ишим
2021-04-16,1,Петелино
2021-04-16,5,Тобольск
2021-04-16,1,Знаменщиково
2021-04-16,5,Озёрное
2021-04-16,5,Вознесенка
2021-04-16,5,Бобровка
2021-04-16,1,Ачиры
2021-04-16,1,Бачелино
2021-04-16,1,Сор
2021-04-16,5,Тельцова
2021-04-16,1,Тюмень
2021-04-16,1,Ялуторовск
2021-04-17,3,Тобольск
2021-04-17,5,Вагай
2021-04-17,1,Менжинское
2021-04-17,5,Чумашкина
2021-04-17,5,Сор
2021-04-17,5,Покровское
2021-04-17,5,Ишим
2021-04-17,1,Иваново
2021-04-17,1,Ялуторовск
2021-04-17,1,Яр
2021-04-17,1,Бачелино
2021-04-17,1,Вагай
2021-04-17,1,Прохорово
2021-04-17,1,Красноорловское
2021-04-17,1,Коктюль
2021-04-17,1,Армизонское
2021-04-17,1,Дубынка
2021-04-17,1,Кускургуль
2021-04-17,1,Тюмень
2021-04-17,5,Вознесенка
2021-04-17,1,Сор
2021-04-17,1,Покровское
2021-04-17,4,Ишим
2021-04-17,5,Абатское
2021-04-17,3,Вагай
2021-04-17,1,Выстрел
2021-04-17,1,Станичное
2021-04-17,4,Менжинское
2021-04-18,1,Караульнояр
2021-04-18,1,Яр
2021-04-18,4,Тобольск
2021-04-18,1,Тобольск
2021-04-18,5,Ишим
2021-04-18,1,Ишим
2021-04-18,5,Казанское
2021-04-18,1,Менжинское
2021-04-18,1,Выстрел
2021-04-18,5,Зарослое
2021-04-18,1,Петелино
2021-04-19,1,Менжинское
2021-04-19,5,Ишим
2021-04-19,1,Тобольск
2021-04-19,3,Вагай
2021-04-19,1,Боровский
2021-04-19,5,Канаш
2021-04-19,5,Зарослое
2021-04-19,5,Власова
2021-04-19,4,Ишим
2021-04-19,1,Выстрел
2021-04-19,1,Яр
2021-04-19,1,Ишим
2021-04-20,1,Тобольск
2021-04-20,4,Ишим
2021-04-20,3,Ишим
2021-04-20,1,Ишим
2021-04-20,1,Менжинское
2021-04-20,1,Вагай
2021-04-20,1,Борки
2021-04-20,4,Бурлаки
2021-04-20,1,Вознесенка
2021-04-20,1,Покровское
2021-04-20,1,Новоандреевка
2021-04-20,3,Каменка
2021-04-20,1,Ялуторовск
2021-04-20,1,Янтык
2021-04-20,1,Тюмень
2021-04-20,1,Казанское
2021-04-20,5,Ишим
2021-04-20,1,Сор
2021-04-20,3,Бурлаки
2021-04-20,1,Яр
2021-04-21,1,Тобольск
2021-04-21,3,Бурлаки
2021-04-21,1,Сор
2021-04-21,1,Ишим
2021-04-21,5,Ишим
2021-04-21,1,Земляная
2021-04-21,3,Ишим
2021-04-21,1,Яр
2021-04-21,1,Тюмень
2021-04-21,1,Малая Зоркальцева
2021-04-21,1,Ворсиха
2021-04-21,1,Менжинское
2021-04-21,1,Винзили
2021-04-22,1,Вагай
2021-04-22,1,Сор
2021-04-22,1,Ишим
2021-04-22,1,Яр
2021-04-22,1,Покровское
2021-04-22,3,Ишим
2021-04-22,1,Ленинка
2021-04-22,1,Маслянский
2021-04-22,1,Ельцово
2021-04-22,1,Тобольск
2021-04-22,1,Ялуторовск
2021-04-22,1,Армизонское
2020-04-11,1,Антипино
2020-04-12,5,Партизан
2020-04-12,5,Ишим
2020-04-12,1,Малышево
2020-04-12,5,Ощепково
2020-04-12,5,Бердюжье
2020-04-12,1,Сартам
2020-04-13,1,Ишим
2020-04-13,5,Абатское
2021-04-22,1,Ощепково
2021-04-22,1,Чуртан
2021-04-22,1,Ильинка
2021-04-22,1,Надцы
2021-04-22,1,Сумкино
2021-04-22,1,Калмакское
2021-04-23,1,Ишим
2021-04-23,3,Сор
2021-04-23,1,Сор
2021-04-23,3,Ишим
2021-04-23,1,Маслянский
2021-04-23,1,Партизан
2021-04-23,1,Бития
2021-04-23,3,Рябово
2021-04-23,1,Новоаптула
2021-04-23,1,Вагай
2021-04-23,5,Сор
2021-04-23,1,Бобровка
2021-04-23,1,Сартам
2021-04-23,1,Калмакское
2021-04-23,4,Чуртан
2021-04-23,1,Знаменщиково
2021-04-24,1,Маслянский
2021-04-24,1,Ишим
2021-04-24,1,Сор
2021-04-24,3,Сор
2021-04-24,4,Уват
2021-04-24,3,Тобольск
2021-04-24,1,Вагай
2021-04-24,1,Партизан
2021-04-24,3,Ишим
2021-04-24,1,Афонькино
2021-04-25,1,Абатское
2021-04-25,1,Партизан
2021-04-25,3,Сор
2021-04-25,4,Покровское
2021-04-25,4,Яр
2021-04-25,1,Тюмень
2021-04-25,1,Вагай
2021-04-25,1,Борки
2021-04-25,3,Нижнеманай
2021-04-25,1,Тобольск
2021-04-25,3,Банниково
2021-04-25,1,Яр
2021-04-25,4,Тобольск
2021-04-25,1,Банниково
2021-04-25,1,Менжинское
2021-04-25,1,Марай
2021-04-25,3,Уктуз
2021-04-25,1,Покровское
2021-04-25,1,Сор
2021-04-25,1,Чуртан
