Местное время,Населенный пункт,type_id,T,P,U,DD,Ff,N,WW,Cl,Cm,Nh
2020-04-03,Ялуторовск,5,7.9,766.3,31.0,"Ветер, дующий с западо-юго-запада",5.0,20–30%., ,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",20–30%.
2020-04-04,Ишим,1,10.1,770.0,39.0,"Ветер, дующий с юго-востока",5.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-04-04,Ишим,5,10.1,770.0,39.0,"Ветер, дующий с юго-востока",5.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2020-04-05,Ишим,5,8.7,757.1,71.0,"Ветер, дующий с юго-юго-востока",4.0,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",100%.
2020-04-11,Ишим,5,14.5,766.9,26.0,"Ветер, дующий с юго-запада",7.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-04-11,Ишим,1,14.5,766.9,26.0,"Ветер, дующий с юго-запада",7.0,Облаков нет., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Осадков нет.
2020-09-12,Ишим,1,20.6,761.7,36.0,"Ветер, дующий с юга",3.0,"90  или более, но не 100%", ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.",50%.
2020-10-19,Ишим,1,10.0,761.4,37.0,"Ветер, дующий с юго-юго-запада",7.0,"90  или более, но не 100%", ,"Слоисто-кучевые, образовавшиеся не из кучевых.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",50%.
2020-10-20,Ишим,1,11.2,758.7,67.0,"Ветер, дующий с юго-юго-востока",2.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",100%.
2020-10-28,Уват,5,-5.8,766.8,85.0,"Ветер, дующий с запада",1.0,100%.,Состояние неба в общем не изменилось. ,"Слоисто-кучевые, образовавшиеся не из кучевых.","Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",70 – 80%.
2021-01-22,Уват,5,-29.4,761.9,74.0,"Ветер, дующий с северо-северо-запада",2.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Высокослоистые просвечивающие.,100%.
2021-04-11,Вагай,5,14.4,775.8,31.0,"Ветер, дующий с юго-юго-запада",6.0,100%., ,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",60%.
2021-04-13,Тюмень,1,14.7,779.2,18.0,"Ветер, дующий с запада",3.0,70 – 80%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-13,Вагай,5,14.4,777.1,18.0,"Ветер, дующий с запада",5.0,60%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-13,Ишим,5,14.3,778.9,21.0,"Ветер, дующий с северо-запада",3.0,"10%  или менее, но не 0", ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-14,Вагай,5,18.9,768.3,31.0,"Ветер, дующий с запада",4.0,20–30%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
2021-04-14,Ишим,5,16.3,770.9,45.0,"Ветер, дующий с западо-юго-запада",7.0,100%., ,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.",Облаков нет.
